ID,BRAND,MODEL,MOTHER BOARD,HEAT SINK,FAN,RAID CARD,CARDS,RISER-1,RISER-II,RISER-III,BACK PLANE,POWER SUPPLY,STATUS,CONDITION NEW,CONDITION REFURBISHED,PRICE NEW,PRICE REFURBISHED,REMARK,CREATED AT,UPDATED AT
4745,HPE,HPE DL580 GEN8 4U  10SFF,735511-001,4 NOS,732428-001  *4NOS,NO,NO,NO,NO,NO,10 SFF,1500W  *4NOS(684530-201),need_check,yes,no,25000,,,2026-06-05T11:32:46.220221+05:30,2026-06-05T11:34:13.063788+05:30
4744,HPE,HPE DL365 GEN10 PLUS,P40453-001,NO,873581-001  *8NOS,P62613-001,P14487-001. HPE Ethernet 1Gb 4-port BASE-T I350-T4 OCP3 Adapter,P14465-001,NO,NO,NO,NO,need_check,yes,yes,24000,14000,,2026-06-05T11:32:46.219667+05:30,2026-06-05T11:34:23.116529+05:30
4743,HPE,HPE DL365 GEN10 PLUS 8SFF,P40453-001,NO,NO,NO,P14487-001. HPE Ethernet 1Gb 4-port BASE-T I350-T4 OCP3 Adapter,P14465-001,NO,NO,NO,NO,need_check,no,no,,,,2026-06-05T11:32:46.219667+05:30,2026-06-05T11:32:46.219667+05:30
4742,HPE,HPE DL380 GEN10 PLUS 16SFF,P31231-001,P14093-001 *1NOS,YES,YES,OCP 2P,P24048-001,NO,NO,16SFF,800 *2NOS,testing,no,no,,,,2026-06-05T11:32:46.21911+05:30,2026-06-05T11:32:46.21911+05:30
4741,INSPUR,INSPUR SA5112M5 8LFF,YZMB-00882-104,NO,YES,NO,NO,YZRI-00776-101,YZRI-00776-101,NO,12 LFF,550  *2NOS(V03101B000000000),need_check,no,no,,,,2026-06-05T11:32:46.21911+05:30,2026-06-05T11:32:46.21911+05:30
4740,DELL,POWEREDGE R920,0Y4CNC,NO,0P4HPY,NO,NO,NO,NO,NO,84SFF,750W  *4NOS(05NF18),need_check,no,no,,,,2026-06-05T11:32:46.218379+05:30,2026-06-05T11:32:46.218379+05:30
4739,ASUS,ASUS ESC4000A-E10 8LFF,KRPG-U8,13SF01A0T01011,FAN 5NOS,NO,NO,YES,YES,NO,8LFF,1600W  *2NOS(01A00-00251100),need_check,no,no,,,,2026-06-05T11:32:46.218379+05:30,2026-06-05T11:32:46.218379+05:30
4738,QUANTA,QUANTA T42S-2U WITH 4 BLADES,N/A,8 NOS,YES,NO,NO,NO,NO,NO,24 SFF,1200W  *2NOS(L745WK0066CYZ),need_check,no,no,,,,2026-06-05T11:32:46.217797+05:30,2026-06-05T11:32:46.217797+05:30
4737,LENOVO,LENOVO METRO,N/A,YES,YES,YES,NO,NO,NO,NO,8SFF,550W *2NOS(00YLGG2),need_check,no,no,,,,2026-06-05T11:32:46.217797+05:30,2026-06-05T11:32:46.217797+05:30
4736,HPE,HPE DL385 GEN10 PLUS V2,P40453-001,NO,STD FAN P22802-001 *6NOS,MR416i-a RAID (P62613-001),BCM57412 Ethernet 10Gb 2-port SFP+ OCP3 (P26873-001 ) *1,2U 3X16 TRI MODE PCI RISER BOARD (P08096-001),NO,NO,"8SFF U.3 x1 basic backplane, P39781-001",800W *2 (830270-202),need_check,no,no,,,,2026-06-05T11:32:46.217225+05:30,2026-06-05T11:32:46.217225+05:30
4735,ASUS,ASSEMBLED SERVER,N4S2M000364,NO,NO,NO,NO,NO,NO,NO,NO,ATX,need_check,no,no,,,,2026-06-05T11:32:46.217225+05:30,2026-06-05T11:32:46.217225+05:30
4734,HPE,HPE DL380 GEN10 8SFF SAS + 8SFF NVME,P11782-001,873592-001  *2NOS,870935-001  *6NOS,NO,ON BOARD 4P,871820-001,871820-001,NO,"87971-001, NVME; 832305-002  SAS",500W *2NOS(865399-001),need_check,no,no,,,,2026-06-05T11:32:46.216666+05:30,2026-06-05T11:32:46.216666+05:30
4733,GIGABYTE,GIGABYTE R282-N8,MR92-FS1,25ST1-343102  *2NOS,4NOS,YES,"10G *1, SFP *4NOS",YES,YES,NO,24SFF,1600W  *2NOS (25EP0-2160080L0S),need_check,no,no,,,,2026-06-05T11:32:46.216666+05:30,2026-06-05T11:32:46.216666+05:30
4732,FUJJITSU,PRIMERGY RX2540 M1,N/A,V26898-B1001-V2,5NOS,D3307-A12 GS2,LPE1250  *2NOS,YES,NO,NO,16SFF,800W *2NOS(A3C40175928),need_check,no,no,,,,2026-06-05T11:32:46.215948+05:30,2026-06-05T11:32:46.215948+05:30
4731,GIGABYTE,HYVE EDGE METAL G10,5411J0070002,00DHS-B12879-04,DBPK0428B2SY047  *6NOS,NO,NO,NO,NO,NO,NO,650W  *2NOS(IZYD202000735),need_check,no,no,,,,2026-06-05T11:32:46.215948+05:30,2026-06-05T11:32:46.215948+05:30
