stock_id,brand,model,model_family,cpu_socket,max_sockets,ram_type,drive_form_factors,condition_new,condition_refurbished,datasheet,source,is_server,needs_review,note
4632,HPE,HPE DL 385 GEN 10 PLUS V2  8SFF,HPE DL 385 GEN 10 PLUS V2,LGA4189,2,DDR4,"2.5"" SFF",no,no,none,derived,yes,no,HPE Intel Gen10 Plus (Ice Lake)
4633,HPE,HPE DL 385 GEN 11 8SFF,HPE DL 385 GEN 11,LGA4677,2,DDR5,"2.5"" SFF",no,no,none,derived,yes,no,HPE Intel Gen11
4634,HPE,HPE PROLIANT DL365 G10 PLUS 8SFF,HPE DL365 G10 PLUS,SP3,2,DDR4,"2.5"" SFF",no,no,HPE\hpe-dl365-gen10-plus-datasheet.pdf,derived,yes,no,HPE EPYC Gen10 Plus
4635,HPE,HPE DL385 GEN10  8SFF,HPE DL385 GEN10,SP3,2,DDR4,"2.5"" SFF",no,no,none,derived,yes,no,HPE EPYC Gen10
4636,HPE,HPE DL380 GEN9 12LFF * 2SFF,HPE DL380 GEN9,LGA2011-3,2,DDR4,"2.5"" SFF;3.5"" LFF",no,no,none,derived,yes,no,HPE Gen9 (E5 v3/v4)
4637,HPE,DL160 GEN9 8SFF,DL160 GEN9,LGA2011-3,2,DDR4,"2.5"" SFF",no,no,none,derived,yes,no,HPE Gen9 (E5 v3/v4)
4638,HPE,DL380 GEN10 8SFF,DL380 GEN10,LGA3647,2,DDR4,"2.5"" SFF",no,no,none,derived,yes,no,HPE Intel Gen10 (Skylake/Cascade)
4639,HPE,HPE DL 385 GEN 10 PLUS,HPE DL 385 GEN 10 PLUS,LGA4189,2,DDR4,,no,no,none,derived,yes,no,HPE Intel Gen10 Plus (Ice Lake)
4640,HPE,HPE DL360 GEN10,HPE DL360 GEN10,LGA3647,2,DDR4,,no,no,HPE\hpe-dl360-gen10-datasheet.pdf,derived,yes,no,HPE Intel Gen10 (Skylake/Cascade)
4641,HPE,HPE STORE EASY 1650,HPE STORE EASY 1650,LGA2011-3,2,DDR4,,no,no,none,derived,yes,no,HPE StoreEasy 1650 (Gen9-based)
4642,HPE,HPE DL385 GEN10,HPE DL385 GEN10,SP3,2,DDR4,,no,no,none,derived,yes,no,HPE EPYC Gen10
4643,DELL,DELL POWEREDGE R540 8LFF,DELL R540,LGA3647,2,DDR4,"3.5"" LFF",no,no,DELL\dell PowerEdge-R540-data sheet.pdf,derived,yes,no,Dell 14G (Skylake/Cascade)
4644,DELL,DELL POWEREDGE R730 8SFF,DELL R730,LGA2011-3,2,DDR4,"2.5"" SFF",no,no,DELL\Dell-PowerEdge-R730-data sheet.pdf,derived,yes,no,Dell 13G (E5 v3/v4)
4645,DELL,DELL POWEREDGE R740 8LFF,DELL R740,LGA3647,2,DDR4,"3.5"" LFF",no,no,DELL\dell powerEdge -r740-data sheet.pdf,derived,yes,no,Dell 14G (Skylake/Cascade)
4646,DELL,DELL POWEREDGE R230 2LFF,DELL R230,LGA1151,1,DDR4,"3.5"" LFF",no,no,DELL\Dell_PowerEdge_R230_DATA SHEET.pdf,derived,yes,no,Dell entry tower (Xeon E)
4647,DELL,DELL POWEREDGE R740 8SFF,DELL R740,LGA3647,2,DDR4,"2.5"" SFF",no,no,DELL\dell powerEdge -r740-data sheet.pdf,derived,yes,no,Dell 14G (Skylake/Cascade)
4648,DELL,DELL POWEREDGE NX3240 12LFF,DELL NX3240,LGA3647,2,DDR4,"3.5"" LFF",no,no,DELL\dell -PowerEdge-nx3240_data sheet.pdf,derived,yes,no,Dell 14G (Skylake/Cascade)
4649,DELL,DELL POWEREDGE R730XD 12LFF *2SFF,DELL R730XD,LGA2011-3,2,DDR4,"2.5"" SFF;3.5"" LFF",no,no,DELL\dell-poweredge-r730xd-datasheet.pdf,derived,yes,no,Dell 13G (E5 v3/v4)
4650,DELL,DELL POWEREDGE NX3230,DELL NX3230,LGA2011-3,2,DDR4,,no,no,DELL\DELLs_poweredge_nx3230_data sheet.pdf,derived,yes,no,Dell 13G (E5 v3/v4)
