stock_id,brand,family,series,model,cores,threads,base_ghz,turbo_ghz,cache,condition_new,condition_refurbished,socket,is_server,needs_review,socket_note
5,AMD,AMD EPYC,,AMD EPYC 3995WX,64 Cores,128 Threads,2.70 GHz,4.2 GHz,256 MB,no,no,sWRX8,no,yes,Threadripper PRO / workstation - not a server socket
6,AMD,AMD EPYC,AMD EPYC 72F3,AMD EPYC 72F3,8 Cores,16 Threads,3.70 GHz,4.10 GHz,256 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
7,AMD,AMD EPYC,,AMD EPYC 73F3,3 Cores,32 Threads,3.5 GHz,4.0 GHz,256MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
8,AMD,AMD EPYC,AMD EPYC 73F3,AMD EPYC 73F3 PROCESSOR,16 Cores,32 Threads,3.5 GHz,4GHz,128MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
9,AMD,AMD EPYC,AMD EPYC 74F3,AMD EPYC 74F3 24 Core 3.2 GHz Processor,24 Cores,48 Threads,3.20 GHz,4.00 GHz,256 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
10,AMD,AMD EPYC,AMD EPYC 75F3,AMD EPYC 75F3 Processor,32 Cores,64 Threads,2.95GHz,4.0GHz,256MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
11,AMD,AMD EPYC,AMD EPYC 7B13,AMD EPYC 7B13 PROCESSOR,64 Cores,128 Threads,2.2 GHz,3.7 Ghz,64 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
12,AMD,AMD EPYC,AMD EPYC 7C13,AMD EPYC 7C13,64 Cores,128 Threads,2.25GHz,2.675GHz,256MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
13,AMD,AMD EPYC,AMD EPYC 7H12,AMD EPYC 7H12,64 Cores,128 Threads,2.60 GHz,3.30 GHz,256 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
14,AMD,AMD EPYC,AMD EPYC 7K62,AMD EPYC 7K62,48 Cores,96 Threads,2.6 GHz,3.3 GHz,192 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
15,AMD,AMD EPYC,AMD EPYC 7R13,AMD EPYC 7R13,64 Cores,128 Threads,2 GHz,304Ghz,128 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
16,AMD,AMD EPYC,AMD EPYC 9B14,AMD EPYC 9B14,96 Cores,192 Threads,2.60GHz,3.7 GHz,384MB,no,no,SP5,yes,no,AMD EPYC 9000 (Genoa/Bergamo/Turin)
17,AMD,AMD EPYC 7000 Series,AMD EPYC 7251,AMD EPYC 7251 Processor,8 Cores,16 Threads,2.1GHz,2.9GHz,32MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
18,AMD,AMD EPYC 7000 Series,AMD EPYC 7252,AMD EPYC 7252 Processor,8 Cores,16 Threads,3.1GHz,3.2GHz,64MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
19,AMD,AMD EPYC 7000 Series,AMD EPYC 7262,AMD EPYC 7262 Processor,8 Cores,16 Thread,3.2 GHz,3.40GHz,128MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
20,AMD,AMD EPYC 7000 Series,AMD EPYC 7282,AMD EPYC 7282 Processor,,32 Threads,2.8GHz,3.2GHz,64MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
21,AMD,AMD EPYC 7000 Series,AMD EPYC 7302P,AMD EPYC 7302P,16 Cores,32 Threads,3.00 GHz,3.30 GHz,128 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
22,AMD,AMD EPYC 7000 Series,AMD EPYC 7313,AMD EPYC 7313 Processor,16 Cores,32 Threads,3.00 GHz,3.2GHz,128 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
23,AMD,AMD EPYC 7000 Series,AMD EPYC 7343,AMD EPYC 7343,16 Cores,32 Threads,3.2 GHz,3.9 GHz,128 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
24,AMD,AMD EPYC 7000 Series,,AMD EPYC 7351,7351 Cores,32 Threads,2.40 GHz,2.90GHz,64MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
25,AMD,AMD EPYC 7000 Series,AMD EPYC 7351,AMD EPYC 7351 Processor,,32 Threads,2.4GHz,2.9GHz,64MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
26,AMD,AMD EPYC 7000 Series,AMD EPYC 7373X,AMD EPYC 7373X PROCESSOR,16 Cores,16 Cores,3 GHz,3.5 GHz,128 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
27,AMD,AMD EPYC 7000 Series,AMD EPYC 7401,AMD EPYC 7401 Processor,24 Cores,48 Threads,2.0GHz,3.0GHz,64MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
28,AMD,AMD EPYC 7000 Series,AMD EPYC 7401P,AMD EPYC 7401P Processor,24 Cores,48 Threads,2.0GHz,3.0GHz,64MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
29,AMD,AMD EPYC 7000 Series,AMD EPYC 7402,AMD EPYC 7402 Processor,24 Cores,48 Threads,2.8GHz,3.35GHz,128MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
30,AMD,AMD EPYC 7000 Series,AMD EPYC 7402P,AMD EPYC 7402P PROCESSOR,24 Cores,48 Threads,2.20 GHz,3.35 GHz,128 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
31,AMD,AMD EPYC 7000 Series,AMD EPYC 7413,AMD EPYC 7413,24 Cores,48 Threads,2.65 GHz,3.60 GHz,128 MB,no,no,SP3,yes,no,AMD EPYC 7000 (Naples/Rome/Milan)
