stock_id,brand,capacity,ram_type,rank,condition_new,condition_refurbished,product_name,needs_review
3,ADATA,16GB,DDR4,2Rx8,no,no,ADATA 16 GB 2Rx8 PC4 2666V SE1 Refurbished RAM,no
4,ADATA,32GB,DDR4,2Rx8,no,no,ADATA 32 GB 2Rx8 PC4 3200AA RE3 NEW RAM,no
5,Cisco,16GB,DDR3,2RX4,no,no,CISCO 16GB 2RX4 PC3L 12800R REFURBISHED RAM,no
6,Cisco,32GB,DDR4,1Rx4,no,no,CISCO 32GB 1Rx4 PC4 2933Y RC2 REFURBISHED RAM,no
7,Cisco,32GB,DDR4,2RX4,no,no,CISCO 32GB 2RX4 PC4 2666V RB2 REFURBISHED RAM,no
8,Cisco,32GB,DDR4,2Rx4,no,no,Cisco 32GB 2Rx4 PC4-2400T 2400MHz ECC REG Refurbished Server Memory,no
9,Cisco,128GB,DDR4,2S4Rx4,no,no,CISCO 128GB 2S4Rx4 PC4 2666V RB2 REFURBISHED RAM,no
10,Crucial,8GB,DDR4,,no,no,CRUCIAL 8GB DDR4 2400 UDIMM REFURBISHED RAM,no
11,Dell,8GB,DDR3,2RX8,no,no,DELL 8GB  240-pin PC3L-12800R DDR3-1600MHz 2RX8 ECC Memory  – NEW RAM,no
12,Dell,16GB,DDR4,2RX8,no,no,DELL 16GB 2RX8 Ecc Pc4-19200 2400Mhz NEW RAM,no
13,Dell,16GB,DDR4,2RX8,no,no,DELL 16GB PC4-21300V DDR4-2666 2RX8 ECC Memory DIMM NEW RAM,no
14,Dell,32GB,DDR3,4RX4,no,no,DELL 32GB PC3L-10600R 4RX4 ECC NEW RAM,no
15,HPE,8GB,DDR4,1RX8,no,no,HPE 1RX8 PC4 2666V RD1 8GB REFURBISHED RAM,no
16,HPE,8GB,DDR3,2RX4,no,no,HPE 2RX4 PC3-10600R 8GB REFURBISHED RAM,no
17,HPE,8GB,DDR4,1Rx4,no,no,HPE 8GB 1Rx4 PC4  2133P – RC1  REFURBISHED RAM – 752368-581,no
18,HPE,8GB,DDR4,1RX8,no,no,HPE 8GB 1RX8 PC4 2133P ED1 REFURBISHED RAM,no
19,HPE,8GB,DDR3,2Rx4,no,no,HPE 8GB 2Rx4 PC3 10600R 9 REFURBISHED RAM,no
20,HPE,8GB,DDR3,2Rx8,no,no,HPE 8GB 2Rx8 PC3 14900E  REFURBISHED RAM,no
