stock_id,kind,brand,interface,capacity,form_factor,speed,rpm,condition_new,condition_refurbished,product_name,needs_review
1,HDD,Cisco,,1.2TB,"2.5"" SFF",,10K RPM,no,no,CISCO  1.2 TB 2.5″ New HDD – UCS-HD12TB10K12G,yes
1,SSD,ADATA,SATA,1TB,"2.5"" SFF",6GB/s,,no,no,"ADATA 1TB 6GB/s 2.5"" SATA Refurshed SSD – ASU800SS-1TT",no
2,HDD,Cisco,,1.8TB,"2.5"" SFF",,10K RPM,no,no,CISCO  1.8 TB 2.5″  New HDD – UCS-HD18TB10KS4K,yes
2,SSD,AGILE,SATA,480GB,"2.5"" SFF",6GB/s,,no,no,"AGILE 480 GB 6GB/s 2.5"" SATA Refurbished SSD – A200",no
3,HDD,Dell,SATA,160GB,"3.5"" LFF",3Gb/s,7.2K RPM,no,no,Dell  160GB 7.2K 3GBPS 3.5” SATA Refurbished HDD – 0X464K,no
3,SSD,DELL,SATA,1.92TB,"2.5"" SFF",6GB/s,,no,no,"DELL 1.92 TB 6GB/s 2.5"" SATA Refurbished SSD – 0VJ36D",no
4,HDD,Dell,SATA,250GB,"2.5"" SFF",6Gb/s,7.2K RPM,no,no,Dell 250GB 7.2K 6GBPS 2.5″ SATA Refurbished HDD – 0HC79N,no
4,SSD,DELL,SATA,3.84TB,"2.5"" SFF",6GB/s,,no,no,"DELL 3.84 TB 6GB/s 2.5"" SATA Refurbished SSD – 0FYP5F",no
5,HDD,Dell,SAS,300GB,"2.5"" SFF",,,no,no,DELL  300GB  2.5″  SAS New HDD – 0YJ2KH,no
5,SSD,DELL,SATA,480GB,"2.5"" SFF",6GB/s,,no,no,"DELL 480 GB 6GB/s 2.5"" SATA Refurbished SSD – 0KCT7J",no
6,HDD,Dell,SATA,300GB,"3.5"" LFF",,,no,no,DELL  300GB 3.5″  SATA New HDD –  02MSJK,no
6,SSD,DELL,SATA,480GB,"3.5"" LFF",6GB/s,,no,no,"Dell 480GB 6 GB/s 3.5"" SATA Refurbished SSD – 0DTPR7",no
7,HDD,Dell,SAS,450GB,,6Gb/s,15K RPM,no,no,Dell 450GB 15K SAS 6GBPS 0R749K Refurbished Hard Disk Drive,yes
7,SSD,DELL,SAS,800GB,"2.5"" SFF",12GB/s,,no,no,"Dell 800 GB 12 GB/s 2.5"" SAS Refurbished SSD – 0R39F5",no
8,HDD,Dell,SATA,500GB,"2.5"" SFF",6Gb/s,7.2K RPM,no,no,Dell  500GB 7.2K 2.5″ 6Gb/s SATA  Refurbished HDD – 000X3Y,no
8,SSD,DELL,SATA,120GB,"2.5"" SFF",,,no,no,Dell 0pGny6 120GB Ssd SATA 2.5 6G – 0PGNY6 – Refurbished SSD,no
9,HDD,Dell,SAS,600GB,,6Gb/s,10K RPM,no,no,Dell 600GB 10K SAS 6GBps Refurbished Hard Disk Drive – 096G91,yes
9,SSD,DELL,SATA,1.6TB,"2.5"" SFF",6GB/s,,no,no,"DELL 1.6 TB 6GB/s 2.5"" SATA Refurbished SSD – 0DTH1X",no
10,HDD,Dell,SAS,600GB,,12Gb/s,15K RPM,no,no,Dell 600GB 15K 12GBps Refurbished Hard Disk Drive – 04HGTJ,yes
10,SSD,DELL,SATA,1.6TB,"2.5"" SFF",6GB/s,,no,no,"Dell 1.6TB 6 GB/s 2.5"" SATA NEW SSD – 06GK00",no
11,HDD,Dell,SAS,600GB,,12Gb/s,15K RPM,no,no,Dell 600GB 15K SAS 12GBs Refurbished Hard Disk Drive – 0TP2KW,yes
11,SSD,DELL,SATA,1.6TB,"2.5"" SFF",6GB/s,,no,no,"Dell 1.6TB 6GB/s 2.5"" SATA NEW SSD – 0P03YC",no
12,HDD,Dell,SAS,600GB,,12Gb/s,15K RPM,no,no,Dell 600GB 15K SAS 12GBs Refurbished Hard Disk Drive-0G6C6C,yes
12,SSD,DELL,SATA,1.92TB,"2.5"" SFF",6GB/s,,no,no,"DELL 1.92 TB 6GB/s 2.5"" SATA Refurbished SSD – 0Y24T6",no
13,HDD,Dell,SAS,600GB,,12Gb/s,15K RPM,no,no,Dell 600GB 15K SAS12GBps Refurbished Hard Disk Drive – 0FPW68,yes
13,SSD,DELL,SATA,1.92TB,"2.5"" SFF",6GB/s,,no,no,"DELL 1.92 TB 6GB/s 2.5"" SATA Refurbished SSD – 0K5P0T",no
14,HDD,Dell,SAS,600GB,"3.5"" LFF",,15K RPM,no,no,Dell EQL 600-GB 15K 3.5 SAS PS4100 Refurbished Hard Disk Drive – 002R3X,no
14,SSD,DELL,SATA,1.92TB,"2.5"" SFF",,,no,no,Dell 1.92TB SATA Read Intensive 6GBps 512e 2.5In Hot-Plug New SSD- 345-BEFC,no
